,idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
760,47,1977-04-06,São Paulo,6729.41,Ensino Médio,2,Solteiro,Tecnologia
761,29,1994-05-14,Santa Catarina,5721.05,Ensino Médio,4,Divorciado,Indústria
762,24,2000-02-12,Rio Grande do Norte,2757.79,Ensino Médio,1,Casado,Educação
763,24,2000-01-01,Amazonas,3221.29,Ensino Médio,0,Casado,Comércio
764,62,1961-06-13,Ceará,3595.91,Ensino Fundamental,0,Casado,Tecnologia
765,35,1988-12-08,Maranhão,13357.93,Ensino Superior,0,Casado,Saúde
766,26,1998-01-22,Maranhão,5901.69,Ensino Médio,0,Solteiro,Comércio
767,52,1971-11-24,Rio Grande do Sul,3859.68,Ensino Fundamental,0,Casado,Indústria
768,54,1969-10-07,Espírito Santo,10615.03,Pós-graduação,0,Casado,Educação
769,63,1960-08-13,Amazonas,9067.03,Ensino Médio,0,Casado,Tecnologia
770,49,1974-08-29,Maranhão,5633.58,Ensino Fundamental,0,Casado,Educação
772,28,1996-04-04,Tocantins,6982.57,Ensino Superior,1,Casado,Comércio
773,24,2000-01-24,Pará,5957.38,Ensino Médio,0,Solteiro,Saúde
774,23,2001-01-05,Pernambuco,2832.53,Ensino Médio,1,Casado,Educação
776,50,1973-12-06,Distrito Federal,7845.46,Ensino Médio,0,Solteiro,Saúde
777,59,1965-02-16,Amapá,5924.11,Ensino Médio,1,Solteiro,Comércio
778,26,1997-06-07,Ceará,3477.07,Ensino Médio,1,Casado,Tecnologia
779,20,2003-12-08,Piauí,4071.95,Ensino Fundamental,2,Solteiro,Indústria
780,27,1996-07-29,Rio Grande do Norte,6533.9,Ensino Médio,1,Casado,Indústria
781,39,1984-08-17,Espírito Santo,2686.14,Ensino Fundamental,0,Casado,Tecnologia
782,40,1983-05-03,Minas Gerais,7492.67,Ensino Médio,0,Casado,Saúde
783,65,1958-11-11,Rio Grande do Sul,9750.59,Ensino Superior,1,Casado,Tecnologia
784,35,1988-05-04,Pará,2075.58,Ensino Fundamental,0,Casado,Indústria
786,35,1989-03-16,Paraíba,7100.94,Ensino Médio,2,Casado,Educação
787,23,2001-01-04,Roraima,2949.64,Ensino Fundamental,0,Casado,Tecnologia
788,58,1965-12-09,Rio de Janeiro,10330.03,Ensino Superior,1,Casado,Educação
789,30,1994-03-11,Mato Grosso,4400.74,Ensino Fundamental,1,Solteiro,Indústria
790,20,2003-10-20,Paraná,6904.78,Ensino Superior,0,Casado,Educação
791,35,1989-01-20,Roraima,6004.32,Ensino Médio,2,Casado,Indústria
793,47,1976-06-29,Pará,5945.53,Ensino Médio,1,Divorciado,Indústria
794,52,1972-03-02,Distrito Federal,6020.04,Ensino Fundamental,2,Solteiro,Tecnologia
796,48,1976-03-18,Bahia,14254.01,Ensino Médio,0,Solteiro,Tecnologia
797,23,2001-01-05,Amapá,1908.27,Ensino Fundamental,0,Divorciado,Educação
798,64,1959-07-06,Roraima,8580.06,Ensino Médio,0,Casado,Educação
799,27,1997-03-16,Pernambuco,2021.54,Ensino Fundamental,0,Solteiro,Tecnologia
800,19,2004-10-27,Piauí,7051.88,Ensino Médio,2,Casado,Saúde
802,18,2006-02-05,Acre,8256.54,Pós-graduação,0,Solteiro,Educação
803,63,1960-10-06,Minas Gerais,9698.52,Ensino Médio,5,Casado,Comércio
805,45,1978-06-20,São Paulo,6587.41,Ensino Médio,0,Casado,Educação
807,24,1999-05-25,Tocantins,4258.78,Ensino Médio,1,Casado,Comércio
808,39,1984-12-15,Ceará,4324.82,Ensino Fundamental,1,Casado,Educação
809,27,1996-12-05,Pernambuco,2674.89,Ensino Fundamental,1,Casado,Tecnologia
810,52,1971-11-01,Piauí,9145.09,Ensino Médio,0,Solteiro,Saúde
811,18,2005-10-03,Minas Gerais,5867.11,Ensino Superior,1,Casado,Indústria
812,27,1996-06-17,Rio Grande do Norte,2512.3,Ensino Fundamental,0,Casado,Indústria
813,45,1978-04-13,Mato Grosso do Sul,6921.98,Ensino Superior,3,Solteiro,Educação
814,38,1985-12-10,Tocantins,4202.04,Ensino Superior,1,Casado,Indústria
815,47,1976-05-12,Ceará,7425.21,Ensino Médio,1,Divorciado,Saúde
816,34,1990-01-29,Mato Grosso do Sul,6066.6,Ensino Médio,1,Casado,Comércio
817,26,1998-02-17,Alagoas,4661.87,Ensino Fundamental,1,Solteiro,Indústria
818,38,1985-10-07,Paraná,14553.26,Ensino Superior,0,Casado,Tecnologia
819,50,1974-02-10,Distrito Federal,7089.08,Ensino Médio,2,Casado,Tecnologia
820,43,1981-02-25,Sergipe,4050.65,Ensino Superior,0,Casado,Educação
821,58,1965-09-13,Acre,2887.88,Ensino Fundamental,0,Solteiro,Comércio
822,61,1963-02-11,Minas Gerais,6310.09,Ensino Médio,0,Divorciado,Educação
823,54,1970-04-03,Amazonas,15847.57,Pós-graduação,0,Casado,Indústria
824,26,1997-08-21,Ceará,6729.31,Ensino Médio,2,Solteiro,Saúde
825,45,1978-12-03,Acre,5003.73,Ensino Fundamental,1,Casado,Indústria
826,33,1990-07-20,Distrito Federal,4525.5,Ensino Médio,1,Casado,Tecnologia
827,88,1936-01-03,Paraíba,14410.18,Ensino Superior,1,Solteiro,Educação
828,41,1982-06-18,Rio Grande do Sul,8913.41,Ensino Superior,0,Solteiro,Indústria
829,24,2000-04-05,Roraima,6485.5,Ensino Médio,2,Solteiro,Comércio
831,25,1998-08-31,Rondônia,4265.25,Ensino Médio,1,Casado,Educação
832,19,2004-06-19,Pará,1823.78,Ensino Fundamental,1,Casado,Indústria
833,37,1986-06-11,Distrito Federal,2548.86,Ensino Fundamental,0,Casado,Tecnologia
834,33,1990-06-04,Sergipe,7390.2,Ensino Médio,3,Casado,Saúde
835,22,2001-06-13,Paraíba,3090.05,Ensino Fundamental,1,Casado,Saúde
836,23,2000-12-04,Goiás,3672.76,Ensino Fundamental,1,Casado,Educação
838,53,1971-03-31,Pará,10312.94,Ensino Médio,0,Solteiro,Educação
839,30,1993-10-22,Rio Grande do Sul,12535.62,Pós-graduação,1,Casado,Saúde
840,23,2000-05-26,Acre,6350.86,Ensino Médio,1,Casado,Tecnologia
841,62,1961-06-29,Sergipe,12639.4,Ensino Superior,1,Casado,Tecnologia
842,49,1974-07-04,Mato Grosso do Sul,6019.32,Ensino Superior,0,Solteiro,Saúde
843,46,1977-08-22,Rio Grande do Norte,10292.34,Ensino Médio,2,Solteiro,Saúde
844,38,1985-10-17,Mato Grosso,5788.67,Ensino Fundamental,1,Casado,Indústria
845,21,2002-11-08,Espírito Santo,3787.32,Ensino Fundamental,3,Viúvo,Saúde
847,26,1998-01-21,Maranhão,6401.35,Ensino Superior,2,Casado,Educação
848,51,1972-11-11,Rio Grande do Sul,8678.11,Ensino Médio,1,Casado,Saúde
850,63,1960-12-31,Rio de Janeiro,16418.66,Ensino Superior,0,Casado,Comércio
851,23,2000-06-10,Distrito Federal,9704.09,Ensino Superior,0,Solteiro,Indústria
852,20,2003-08-06,Espírito Santo,6834.99,Ensino Médio,0,Solteiro,Indústria
853,83,1941-02-15,Acre,5704.98,Ensino Fundamental,1,Solteiro,Indústria
854,18,2005-05-14,Rio Grande do Sul,5312.82,Pós-graduação,0,Casado,Comércio
855,22,2001-05-27,Mato Grosso,3379.76,Ensino Médio,0,Divorciado,Educação
856,21,2002-10-25,Mato Grosso,4172.28,Ensino Médio,1,Casado,Educação
857,26,1997-11-21,Pernambuco,13968.72,Pós-graduação,0,Casado,Tecnologia
858,46,1978-01-14,Tocantins,6434.44,Ensino Médio,0,Casado,Educação
859,48,1975-04-18,Pernambuco,7983.69,Ensino Médio,0,Casado,Tecnologia
860,19,2005-03-15,Ceará,3350.36,Ensino Médio,1,Casado,Saúde
861,29,1994-05-18,São Paulo,3728.32,Ensino Médio,1,Divorciado,Tecnologia
862,56,1967-07-18,São Paulo,17352.61,Ensino Superior,0,Casado,Tecnologia
863,55,1969-01-21,Amazonas,10352.06,Ensino Médio,0,Casado,Tecnologia
864,38,1985-12-12,Maranhão,5793.49,Ensino Médio,0,Casado,Indústria
865,24,1999-07-28,Rio de Janeiro,3786.4,Ensino Fundamental,0,Solteiro,Tecnologia
866,43,1981-01-01,Espírito Santo,5195.48,Ensino Médio,2,Divorciado,Educação
867,64,1959-04-19,Tocantins,10684.6,Ensino Superior,1,Solteiro,Tecnologia
868,62,1961-12-13,Paraíba,3131.68,Ensino Fundamental,1,Casado,Educação
869,45,1978-10-26,Acre,8757.13,Ensino Médio,1,Casado,Educação
870,18,2005-05-28,Rio Grande do Sul,4400.85,Ensino Fundamental,0,Divorciado,Tecnologia
871,27,1996-08-16,Amazonas,5194.48,Ensino Superior,1,Solteiro,Indústria
872,34,1989-11-10,Bahia,3048.51,Ensino Médio,0,Solteiro,Saúde
873,54,1969-05-03,Amapá,6454.24,Ensino Médio,1,Divorciado,Tecnologia
874,24,1999-09-07,Amapá,6598.84,Ensino Superior,1,Casado,Indústria
876,65,1959-02-26,Pernambuco,15902.09,Ensino Superior,0,Solteiro,Indústria
878,61,1963-03-07,Goiás,3512.41,Ensino Fundamental,0,Casado,Saúde
879,27,1996-10-23,Roraima,4425.97,Ensino Fundamental,1,Solteiro,Saúde
880,42,1981-11-30,Minas Gerais,3988.17,Ensino Médio,1,Divorciado,Comércio
882,55,1968-10-29,Roraima,6195.22,Ensino Médio,0,Casado,Saúde
883,32,1992-01-19,Rio Grande do Sul,12134.53,Ensino Superior,1,Casado,Tecnologia
884,44,1979-07-19,Bahia,8036.53,Ensino Médio,1,Casado,Saúde
885,27,1996-10-29,Santa Catarina,7242.75,Ensino Superior,0,Solteiro,Indústria
886,43,1980-09-14,Mato Grosso do Sul,3812.69,Ensino Fundamental,2,Casado,Comércio
887,46,1977-07-21,Mato Grosso do Sul,5784.7,Ensino Médio,3,Casado,Indústria
890,44,1979-09-22,Paraná,9422.11,Ensino Superior,3,Solteiro,Tecnologia
891,25,1998-12-21,Minas Gerais,6225.85,Ensino Médio,0,Casado,Educação
893,44,1979-04-21,Acre,8009.89,Ensino Médio,0,Solteiro,Indústria
894,61,1962-10-09,Piauí,8369.57,Ensino Superior,0,Casado,Saúde
895,25,1998-06-28,Rio Grande do Sul,3165.91,Ensino Médio,2,Casado,Indústria
897,26,1998-01-11,Paraíba,5576.21,Ensino Superior,1,Casado,Tecnologia
898,40,1984-01-19,Sergipe,5671.59,Ensino Médio,1,Casado,Indústria
899,46,1977-10-10,Alagoas,5441.64,Ensino Fundamental,3,Solteiro,Saúde
900,39,1985-02-19,Paraíba,6063.43,Ensino Médio,0,Casado,Comércio
901,67,1956-06-22,Paraíba,5291.11,Ensino Médio,2,Casado,Educação
902,29,1995-04-09,Minas Gerais,2768.73,Ensino Médio,1,Solteiro,Educação
903,50,1973-11-24,Pernambuco,9141.51,Ensino Médio,1,Solteiro,Tecnologia
905,69,1954-09-14,Minas Gerais,3623.17,Ensino Médio,0,Casado,Educação
906,61,1962-09-13,Piauí,6840.39,Ensino Médio,1,Casado,Indústria
907,36,1987-09-19,Pernambuco,3922.92,Ensino Fundamental,0,Casado,Indústria
908,27,1996-12-15,Mato Grosso do Sul,10002.52,Ensino Superior,0,Divorciado,Saúde
909,24,1999-09-19,Mato Grosso,7059.04,Ensino Superior,0,Divorciado,Educação
910,37,1986-08-03,Pernambuco,4516.47,Ensino Médio,0,Solteiro,Indústria
911,56,1967-09-04,Maranhão,6822.63,Ensino Médio,0,Casado,Comércio
912,47,1976-11-01,Bahia,3481.46,Ensino Fundamental,0,Divorciado,Tecnologia
913,52,1971-07-12,São Paulo,13076.78,Ensino Médio,0,Solteiro,Tecnologia
914,25,1999-01-31,Distrito Federal,4728.45,Ensino Médio,1,Casado,Educação
916,58,1965-09-22,Pará,10022.74,Ensino Médio,0,Casado,Comércio
917,59,1965-04-09,Paraíba,12870.23,Ensino Médio,0,Casado,Indústria
918,18,2006-04-02,Amazonas,4323.49,Ensino Médio,0,Solteiro,Indústria
919,36,1987-06-12,Espírito Santo,2826.59,Ensino Médio,0,Casado,Saúde
920,46,1978-03-01,Amazonas,10120.18,Ensino Superior,3,Casado,Saúde
921,36,1987-09-04,Espírito Santo,7493.84,Ensino Médio,0,Casado,Indústria
924,20,2004-03-09,Rio Grande do Norte,3048.33,Ensino Médio,1,Casado,Educação
925,53,1971-01-30,Amazonas,5992.75,Ensino Médio,0,Solteiro,Comércio
926,47,1976-12-21,Mato Grosso do Sul,3982.1,Ensino Médio,0,Casado,Saúde
927,30,1993-11-11,Minas Gerais,10704.86,Ensino Superior,3,Casado,Tecnologia
928,44,1980-02-05,Rio Grande do Norte,5753.36,Ensino Médio,0,Casado,Tecnologia
929,65,1958-04-16,Piauí,11272.18,Ensino Médio,1,Casado,Saúde
930,50,1973-09-20,Santa Catarina,5874.39,Ensino Fundamental,5,Casado,Tecnologia
931,25,1998-12-10,Ceará,9261.18,Ensino Superior,1,Casado,Saúde
932,28,1996-02-24,Sergipe,2772.64,Ensino Fundamental,1,Casado,Comércio
933,45,1978-09-01,Rondônia,2952.09,Ensino Fundamental,0,Casado,Tecnologia
934,41,1982-04-26,Mato Grosso do Sul,13888.41,Pós-graduação,1,Viúvo,Indústria
935,18,2005-05-07,Rio Grande do Norte,5623.14,Ensino Médio,0,Casado,Comércio
936,70,1954-01-24,Amapá,14844.87,Ensino Médio,1,Casado,Tecnologia
937,39,1984-06-08,Paraíba,4172.43,Ensino Médio,1,Casado,Saúde
938,47,1976-06-13,Roraima,5677.33,Ensino Médio,0,Casado,Comércio
939,19,2004-05-15,Rio Grande do Norte,3677.42,Ensino Médio,2,Casado,Comércio
940,34,1990-03-12,Mato Grosso,5342.36,Ensino Superior,2,Casado,Educação
941,62,1961-07-02,Ceará,3194.69,Ensino Fundamental,1,Casado,Indústria
942,23,2001-04-08,Tocantins,2271.48,Ensino Médio,1,Casado,Educação
943,56,1968-02-12,Paraíba,7322.34,Ensino Médio,2,Casado,Comércio
944,23,2000-11-10,Rio Grande do Norte,3772.74,Ensino Fundamental,2,Solteiro,Indústria
945,57,1967-03-17,Acre,5122.87,Ensino Médio,1,Casado,Tecnologia
946,30,1993-12-09,Minas Gerais,6741.8,Ensino Médio,0,Casado,Comércio
947,73,1950-09-05,Mato Grosso do Sul,3960.83,Ensino Superior,2,Solteiro,Educação
948,27,1996-07-08,Piauí,6667.62,Ensino Superior,0,Divorciado,Tecnologia
949,48,1975-07-23,Rio Grande do Norte,11941.8,Ensino Superior,0,Casado,Educação
951,49,1974-06-04,Tocantins,16942.43,Ensino Superior,0,Casado,Saúde
952,20,2003-05-19,Minas Gerais,4999.53,Ensino Fundamental,0,Casado,Tecnologia
953,34,1989-07-09,Rio de Janeiro,3823.07,Ensino Médio,0,Casado,Comércio
954,33,1990-10-03,Piauí,6071.32,Ensino Médio,0,Casado,Indústria
955,51,1973-01-12,Amazonas,5311.64,Ensino Fundamental,0,Casado,Saúde
957,36,1987-07-29,Mato Grosso,5867.22,Ensino Médio,3,Solteiro,Saúde
958,54,1969-11-28,Tocantins,10967.5,Ensino Superior,0,Casado,Tecnologia
959,29,1995-01-31,Rondônia,7982.37,Ensino Médio,1,Casado,Indústria
960,26,1997-11-08,Amapá,3900.38,Ensino Médio,1,Solteiro,Comércio
961,19,2004-05-21,Alagoas,3369.1,Ensino Médio,0,Casado,Saúde
962,52,1972-02-19,Rio de Janeiro,9387.09,Ensino Médio,2,Divorciado,Saúde
963,20,2003-05-02,Espírito Santo,2979.75,Ensino Médio,2,Casado,Comércio
964,19,2004-11-29,Paraíba,3711.76,Ensino Médio,0,Divorciado,Saúde
965,50,1974-02-28,Mato Grosso do Sul,9325.37,Ensino Superior,1,Casado,Saúde
966,22,2001-04-24,Pará,2476.54,Ensino Médio,0,Casado,Comércio
967,22,2002-01-05,Amazonas,5427.32,Ensino Médio,3,Casado,Indústria
968,33,1990-08-07,Amazonas,5413.53,Ensino Médio,1,Casado,Indústria
969,60,1963-07-05,Rio Grande do Norte,5478.39,Ensino Fundamental,0,Solteiro,Educação
972,62,1962-02-27,Alagoas,8127.62,Ensino Médio,2,Solteiro,Indústria
973,30,1994-02-19,Amapá,3435.14,Ensino Fundamental,1,Solteiro,Educação
974,31,1992-04-23,Acre,11666.8,Ensino Superior,0,Solteiro,Saúde
975,32,1991-09-20,Espírito Santo,7155.67,Ensino Médio,2,Divorciado,Educação
976,20,2003-05-14,Piauí,4595.72,Ensino Superior,1,Casado,Tecnologia
977,67,1956-11-04,Paraíba,6589.17,Ensino Fundamental,1,Divorciado,Comércio
978,41,1982-06-13,Pernambuco,3471.76,Ensino Fundamental,1,Solteiro,Saúde
979,50,1974-02-04,Paraná,11062.85,Pós-graduação,0,Casado,Tecnologia
980,35,1988-12-12,Goiás,5606.34,Ensino Médio,1,Casado,Saúde
981,42,1981-10-22,Espírito Santo,13072.05,Ensino Superior,3,Casado,Educação
982,33,1991-04-06,Espírito Santo,2960.39,Ensino Médio,0,Casado,Indústria
983,56,1967-07-21,Paraíba,10830.65,Ensino Médio,2,Solteiro,Comércio
984,18,2006-03-09,Minas Gerais,7901.58,Ensino Médio,2,Solteiro,Tecnologia
986,63,1960-07-09,Amapá,18688.65,Ensino Superior,2,Solteiro,Tecnologia
987,46,1977-06-08,Mato Grosso do Sul,4881.08,Ensino Fundamental,0,Casado,Saúde
988,60,1963-05-01,Rio Grande do Sul,7281.83,Ensino Médio,2,Solteiro,Educação
989,43,1980-12-27,Maranhão,10485.64,Ensino Superior,1,Casado,Comércio
990,23,2000-05-24,São Paulo,7415.66,Ensino Médio,0,Casado,Saúde
991,59,1964-11-10,Maranhão,6902.92,Ensino Fundamental,2,Casado,Tecnologia
992,28,1996-03-17,Pernambuco,8730.3,Ensino Superior,4,Casado,Educação
993,83,1940-12-23,Rio Grande do Norte,14418.86,Ensino Superior,0,Casado,Saúde
994,36,1987-12-08,Espírito Santo,2340.09,Ensino Fundamental,0,Casado,Comércio
995,29,1995-02-21,Maranhão,9667.18,Ensino Superior,2,Casado,Comércio
996,22,2001-06-27,Alagoas,5895.68,Ensino Médio,1,Casado,Tecnologia
997,48,1975-07-03,Roraima,7576.81,Ensino Médio,1,Casado,Comércio
998,20,2003-10-31,Pernambuco,3084.41,Ensino Médio,0,Casado,Tecnologia
999,20,2003-12-11,Espírito Santo,12990.91,Pós-graduação,2,Casado,Tecnologia
1001,46,1978-02-17,Sergipe,7467.09,Ensino Fundamental,1,Casado,Tecnologia
1002,36,1987-08-20,Mato Grosso,3781.75,Ensino Fundamental,1,Casado,Tecnologia
1003,46,1977-06-05,Mato Grosso,9022.45,Ensino Médio,0,Casado,Saúde
1004,46,1977-09-09,Santa Catarina,5709.73,Ensino Fundamental,3,Divorciado,Indústria
1005,64,1959-10-17,Amapá,8572.38,Ensino Médio,0,Casado,Comércio
1007,24,1999-07-10,São Paulo,3393.53,Ensino Médio,1,Solteiro,Saúde
1008,21,2002-08-09,Paraná,3793.36,Ensino Médio,0,Solteiro,Educação
1009,34,1990-01-20,Amazonas,15659.42,Pós-graduação,0,Casado,Saúde
1011,51,1972-05-05,Paraíba,12594.68,Ensino Médio,5,Solteiro,Tecnologia
1014,32,1991-07-13,Minas Gerais,8328.93,Ensino Médio,2,Solteiro,Tecnologia
1015,37,1986-05-17,Goiás,7474.69,Ensino Médio,0,Solteiro,Indústria
1016,35,1988-06-19,Paraná,4625.59,Ensino Médio,3,Casado,Educação
1017,41,1982-08-07,Tocantins,9023.45,Ensino Superior,0,Divorciado,Indústria
1018,49,1974-10-31,Tocantins,6309.96,Ensino Médio,1,Casado,Saúde
1019,45,1978-09-20,Mato Grosso,3193.49,Ensino Fundamental,2,Solteiro,Indústria
1020,61,1962-04-24,Pernambuco,8547.09,Ensino Médio,0,Casado,Tecnologia
1021,39,1984-12-27,Bahia,5209.98,Ensino Médio,0,Casado,Indústria
1022,31,1992-11-22,Rondônia,7655.42,Ensino Médio,2,Casado,Saúde
1023,20,2003-12-04,Paraná,2474.6,Ensino Médio,0,Casado,Indústria
1024,42,1981-05-18,Minas Gerais,3432.99,Ensino Fundamental,1,Solteiro,Comércio
1026,46,1977-05-03,Paraná,4039.94,Ensino Fundamental,1,Casado,Educação
1027,42,1981-06-23,Rio de Janeiro,17669.66,Ensino Superior,4,Casado,Tecnologia
1029,61,1963-03-10,Pernambuco,5975.8,Ensino Médio,0,Casado,Educação
1030,61,1962-05-06,Pará,8346.09,Ensino Médio,0,Casado,Saúde
1031,27,1996-08-27,Bahia,8779.38,Ensino Superior,3,Casado,Saúde
1032,43,1980-09-18,Alagoas,3896.24,Ensino Médio,0,Divorciado,Comércio
1033,20,2004-03-18,Bahia,6174.02,Ensino Médio,2,Casado,Indústria
1034,49,1974-04-27,Roraima,8941.44,Ensino Médio,1,Casado,Comércio
1035,24,1999-08-30,Minas Gerais,4787.91,Ensino Médio,0,Casado,Indústria
1036,64,1959-05-23,Ceará,7514.71,Ensino Médio,1,Solteiro,Comércio
1037,32,1992-02-27,Paraíba,4827.22,Ensino Fundamental,3,Solteiro,Indústria
1038,28,1996-01-13,Rio de Janeiro,5680.07,Ensino Médio,0,Casado,Tecnologia
1039,34,1989-08-15,Rio Grande do Norte,2476.31,Ensino Fundamental,0,Casado,Indústria
1040,29,1994-10-14,São Paulo,7460.83,Ensino Médio,0,Casado,Tecnologia
1042,60,1964-01-14,Amapá,10090.86,Ensino Médio,0,Divorciado,Tecnologia
1043,19,2004-08-26,Mato Grosso do Sul,2505.56,Ensino Médio,0,Casado,Comércio
1044,52,1971-11-10,Mato Grosso do Sul,8200.88,Ensino Superior,3,Casado,Saúde
1045,21,2002-12-02,Minas Gerais,3751.72,Ensino Médio,3,Casado,Educação
1046,51,1972-10-06,Ceará,6813.65,Ensino Fundamental,2,Casado,Saúde
1047,43,1981-02-07,Roraima,5691.17,Ensino Médio,2,Casado,Comércio
1048,46,1977-11-06,Paraíba,9340.62,Ensino Superior,1,Casado,Comércio
1049,36,1988-03-21,Amapá,8102.67,Ensino Médio,2,Casado,Saúde
1050,57,1966-04-22,Paraná,6062.98,Ensino Fundamental,0,Solteiro,Comércio
1052,34,1990-01-26,Santa Catarina,3650.46,Ensino Médio,2,Casado,Educação
1053,64,1959-09-03,Distrito Federal,6542.16,Ensino Fundamental,0,Solteiro,Indústria
1055,56,1968-01-18,Maranhão,2816.18,Ensino Fundamental,1,Casado,Tecnologia
1056,25,1998-08-14,Mato Grosso do Sul,5479.67,Ensino Médio,0,Divorciado,Educação
1057,62,1961-06-04,Pernambuco,5164.91,Ensino Médio,0,Solteiro,Indústria
1058,37,1986-11-18,Pernambuco,2024.65,Ensino Fundamental,0,Casado,Saúde
1059,28,1995-05-23,São Paulo,2604.89,Ensino Fundamental,0,Casado,Educação
1060,42,1981-10-03,Goiás,6090.13,Ensino Médio,1,Solteiro,Indústria
1061,21,2002-09-09,Maranhão,2424.6,Ensino Fundamental,1,Solteiro,Indústria
1062,45,1979-01-06,Mato Grosso,11470.7,Ensino Médio,0,Divorciado,Tecnologia
1064,48,1975-05-18,Rio de Janeiro,7184.23,Ensino Médio,2,Casado,Comércio
1066,33,1990-06-03,Acre,4198.8,Ensino Fundamental,0,Solteiro,Tecnologia
1067,33,1990-10-11,Amapá,10676.89,Ensino Superior,0,Casado,Educação
1069,24,2000-01-14,Pará,6372.09,Ensino Médio,1,Casado,Saúde
1070,50,1973-07-09,Acre,7537.08,Ensino Fundamental,1,Solteiro,Tecnologia
1071,31,1992-06-14,Santa Catarina,3142.12,Ensino Médio,1,Casado,Saúde
1073,60,1964-03-21,Piauí,5992.69,Ensino Médio,2,Solteiro,Indústria
1075,60,1964-01-26,Mato Grosso do Sul,5031.28,Ensino Fundamental,1,Divorciado,Educação
1076,32,1991-11-06,Rio Grande do Sul,4251.91,Ensino Médio,1,Solteiro,Tecnologia
1077,64,1960-03-31,Mato Grosso,7112.72,Ensino Fundamental,0,Casado,Saúde
1078,39,1984-07-03,Goiás,5751.31,Ensino Médio,0,Casado,Educação
1079,21,2003-01-20,Sergipe,5904.85,Ensino Superior,0,Casado,Educação
1080,32,1992-02-26,Paraná,5095.17,Ensino Médio,1,Viúvo,Comércio
1081,23,2001-03-23,Espírito Santo,6293.08,Ensino Médio,1,Solteiro,Saúde
1082,21,2002-04-24,Distrito Federal,8174.05,Ensino Superior,0,Casado,Tecnologia
1083,27,1996-06-29,Amapá,5655.63,Ensino Médio,0,Casado,Comércio
1084,22,2001-04-14,Paraná,7965.45,Ensino Superior,0,Casado,Educação
1085,38,1985-07-02,Rio de Janeiro,7333.94,Ensino Médio,0,Casado,Saúde
1087,47,1976-10-13,Maranhão,11396.59,Ensino Superior,0,Solteiro,Comércio
1088,52,1972-02-12,Paraná,11292.45,Ensino Superior,0,Casado,Indústria
1089,32,1992-04-07,Espírito Santo,5997.17,Ensino Médio,1,Solteiro,Tecnologia
1090,25,1998-10-08,Mato Grosso do Sul,3360.89,Ensino Médio,2,Casado,Tecnologia
1091,34,1989-12-21,Piauí,6073.91,Ensino Médio,0,Solteiro,Educação
1092,31,1992-06-09,Rio Grande do Norte,4984.09,Ensino Médio,3,Casado,Educação
1093,23,2000-10-17,Bahia,5526.97,Ensino Médio,1,Casado,Tecnologia
1094,52,1972-04-06,Minas Gerais,3675.59,Ensino Fundamental,2,Solteiro,Indústria
1095,38,1986-03-12,São Paulo,1775.51,Ensino Fundamental,0,Casado,Indústria
1096,45,1979-04-06,Rio Grande do Norte,15836.09,Ensino Superior,0,Casado,Indústria
1097,71,1953-01-02,Amapá,2301.16,Ensino Fundamental,0,Casado,Comércio
1098,51,1972-08-26,Minas Gerais,4092.16,Ensino Médio,0,Casado,Educação
1099,23,2000-06-25,Mato Grosso,7046.73,Ensino Médio,1,Casado,Saúde
1100,40,1983-12-30,Paraná,4595.69,Ensino Superior,2,Divorciado,Indústria
1101,57,1966-11-13,Goiás,1883.72,Ensino Fundamental,1,Casado,Educação
1102,28,1995-07-11,Bahia,3949.23,Ensino Fundamental,2,Viúvo,Comércio
1103,59,1965-02-10,Minas Gerais,5182.5,Ensino Médio,2,Casado,Comércio
1104,35,1988-05-18,Sergipe,7070.67,Ensino Médio,0,Casado,Educação
1105,18,2006-03-21,Tocantins,7776.7,Ensino Superior,0,Casado,Saúde
1106,65,1958-07-15,Acre,26024.19,Pós-graduação,1,Casado,Saúde
1108,29,1994-10-12,Roraima,9216.6,Ensino Superior,0,Solteiro,Comércio
1109,65,1958-07-27,Goiás,6261.86,Ensino Médio,1,Casado,Comércio
1110,28,1995-09-16,Rio Grande do Sul,4046.64,Ensino Fundamental,1,Casado,Saúde
1111,40,1983-09-16,Minas Gerais,5917.56,Ensino Médio,0,Solteiro,Indústria
1112,31,1992-07-23,São Paulo,6094.62,Ensino Médio,3,Divorciado,Indústria
1113,60,1963-12-20,Pernambuco,13201.81,Ensino Médio,1,Solteiro,Saúde
1114,42,1981-04-24,Distrito Federal,6032.64,Ensino Médio,1,Casado,Saúde
1116,29,1994-09-05,Distrito Federal,3589.48,Ensino Médio,0,Divorciado,Tecnologia
1117,37,1987-01-15,Mato Grosso do Sul,4806.04,Ensino Superior,2,Solteiro,Indústria
1118,28,1995-07-04,Santa Catarina,4083.94,Ensino Médio,0,Casado,Tecnologia
1119,18,2005-09-09,Bahia,3187.29,Ensino Fundamental,1,Casado,Comércio
1120,42,1981-11-01,Paraíba,2893.62,Ensino Fundamental,0,Casado,Saúde
1121,24,1999-08-07,Espírito Santo,5205.19,Ensino Fundamental,0,Solteiro,Tecnologia
1122,29,1994-09-29,Santa Catarina,3357.63,Ensino Fundamental,0,Solteiro,Tecnologia
1123,41,1982-12-24,Sergipe,3850.28,Ensino Médio,1,Solteiro,Indústria
